Facility Name,Type,District,Province,Source
Cator Manor,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
Hlengisizwe,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
Inanda C,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
KwaDabeka,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
KwaMashu,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
Newtown,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
Phoenix,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
Tongaat,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za
Umlazi G-Section Clinic,Primary Healthcare,eThekwini,KwaZulu-Natal,kznhealth.gov.za (opened Oct 2025)
