Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Imizizi Clinic,Clinic,MoH,-30.9088999999999,29.9708,GPS
South Africa,Eastern Cape,Indwe Hospital,District Hospital,MoH,-31.4682999999999,27.3403999999999,GPS
South Africa,Eastern Cape,Isikelo Clinic,Clinic,MoH,-30.7866,29.7679,GPS
South Africa,Eastern Cape,Isikhoba Clinic,Clinic,MoH,-32.0097999999999,27.5823,GPS
South Africa,Eastern Cape,Isilimela Gateway Clinic,Clinic,MoH,-31.7341,29.3588999999999,GPS
South Africa,Eastern Cape,Isilimela Hospital,District Hospital,MoH,-31.7342,29.3588999999999,GPS
South Africa,Eastern Cape,Isilindini Clinic,Clinic,MoH,-30.62,28.5908,GPS
South Africa,Eastern Cape,Isolomzi Clinic,Clinic,MoH,-33.8256,25.3753999999999,GPS
South Africa,Eastern Cape,Jafta Clinic,Clinic,MoH,-32.7988,27.3108,GPS
South Africa,Eastern Cape,Jaji Clinic,Clinic,MoH,-33.3513999999999,27.1131999999999,GPS
South Africa,Eastern Cape,Jalamba Clinic,Clinic,MoH,-32.0169,28.7392,GPS
South Africa,Eastern Cape,Jama Clinic,Clinic,MoH,-33.3768999999999,27.0936999999999,GPS
South Africa,Eastern Cape,Jamestown Clinic,Clinic,MoH,-31.0868,26.8445,GPS
South Africa,Eastern Cape,Jamestown Hospital,District Hospital,MoH,-31.1236,26.8074,GPS
South Africa,Eastern Cape,Jingqi Clinic,Clinic,MoH,-32.3331,28.6578,GPS
South Africa,Eastern Cape,Joe Slovo Clinic,Clinic,MoH,-33.825,25.5027,GPS
South Africa,Eastern Cape,John Dube Clinic,Clinic,MoH,-32.9913,27.8164,GPS
South Africa,Eastern Cape,Joubertina CHC,Community Health Centre,MoH,-33.8263,23.8646999999999,GPS
South Africa,Eastern Cape,Joza Clinic,Clinic,MoH,-33.2916999999999,26.5603,GPS
South Africa,Eastern Cape,Kalankomo Clinic,Clinic,MoH,-30.9436,28.7107999999999,GPS
South Africa,Eastern Cape,Kamastone Clinic,Clinic,MoH,-32.0694999999999,26.6487,GPS
South Africa,Eastern Cape,Kambi Clinic,Clinic,MoH,-31.4928999999999,28.6617,GPS
