name,type,ownership,latitude,longitude,source
Horseshoe Clinic,Clinic,MoH,-32.2607,24.5363,GPS
Horton Clinic,Clinic,MoH,-33.1127,27.0216,GPS
Hukuwa Clinic,Clinic,MoH,-32.1554,26.6470,GPS
Humansdorp Clinic,Clinic,MoH,-34.0322,24.7684,GPS
Humansdorp Hospital,District Hospital,MoH,-34.0302,24.7814,GPS
Ibika Clinic,Clinic,MoH,-32.2835,28.2205,GPS
Idutywa Nqabara Clinic,Clinic,MoH,-32.1009,28.4538,GPS
Idutywa Village CHC,Community Health Centre,MoH,-32.0970,28.2991,GPS
Ikamvelihle Clinic,Clinic,MoH,-33.7932,25.6130,GPS
Ilinge Clinic,Clinic,MoH,-31.9773,27.0402,GPS
Ilita Clinic,Clinic,MoH,-32.8899,27.5338,GPS
Imidange Clinic,Clinic,MoH,-32.7796,27.4870,GPS
Imizamo Yetho Clinic,Clinic,MoH,-33.7430,24.7974,GPS
Imizizi Clinic,Clinic,MoH,-30.9089,29.9708,GPS
Indwe Hospital,District Hospital,MoH,-31.4683,27.3404,GPS
Isikelo Clinic,Clinic,MoH,-30.7866,29.7679,GPS
Isikhoba Clinic,Clinic,MoH,-32.0098,27.5823,GPS
Isilimela Gateway Clinic,Clinic,MoH,-31.7341,29.3589,GPS
Isilimela Hospital,District Hospital,MoH,-31.7342,29.3589,GPS
Isilindini Clinic,Clinic,MoH,-30.6200,28.5908,GPS
Isolomzi Clinic,Clinic,MoH,-33.8256,25.3754,GPS
Jafta Clinic,Clinic,MoH,-32.7988,27.3108,GPS
Jaji Clinic,Clinic,MoH,-33.3514,27.1132,GPS
Jalamba Clinic,Clinic,MoH,-32.0169,28.7392,GPS
Jama Clinic,Clinic,MoH,-33.3769,27.0937,GPS
Jamestown Clinic,Clinic,MoH,-31.0868,26.8445,GPS
Jamestown Hospital,District Hospital,MoH,-31.1236,26.8074,GPS
Jingqi Clinic,Clinic,MoH,-32.3331,28.6578,GPS
Joe Slovo Clinic,Clinic,MoH,-33.8250,25.5027,GPS
John Dube Clinic,Clinic,MoH,-32.9913,27.8164,GPS
Joubertina CHC,Community Health Centre,MoH,-33.8263,23.8647,GPS
Joza Clinic,Clinic,MoH,-33.2917,26.5603,GPS
Kalankomo Clinic,Clinic,MoH,-30.9436,28.7108,GPS
Kamastone Clinic,Clinic,MoH,-32.0695,26.6487,GPS
Kambi Clinic,Clinic,MoH,-31.4929,28.6617,GPS
Kanyayo  Clinic Bizana,Clinic,MoH,-31.0792,29.8004,GPS
Kareedouw Clinic,Clinic,MoH,-33.9524,24.3060,GPS
Kati-Kati Clinic,Clinic,MoH,-32.2882,27.1571,GPS
Katkop Clinic,Clinic,MoH,-30.8977,28.5494,GPS
KB Siswana Clinic,Clinic,MoH,-31.5592,26.5493,GPS
Kenton-On-Sea Clinic,Clinic,MoH,-33.6762,26.6663,GPS
Keti Clinic,Clinic,MoH,-32.0421,28.1156,GPS
Khanya Clinic,Clinic,MoH,-33.8653,25.5750,GPS
Khanyayo Clinic Holy Cross,Clinic,MoH,-31.1938,29.8454,GPS
Khayamnandi Clinic,Clinic,MoH,-31.2817,25.8121,GPS
Khuze Clinic,Clinic,MoH,-32.2127,27.6278,GPS
Kirkwood Clinic,Clinic,MoH,-33.4006,25.4429,GPS
Kleinbulhoek Clinic,Clinic,MoH,-32.1000,26.5602,GPS
Kohlo Clinic,Clinic,MoH,-31.5701,29.4075,GPS
Kolomana Clinic,Clinic,MoH,-32.4255,26.7888,GPS
Komga Clinic,Clinic,MoH,-32.5817,27.8855,GPS
Komga Hospital,District Hospital,MoH,-32.5760,27.8958,GPS
Komga Rural Clinic,Clinic,MoH,-32.6630,27.8925,GPS
Komga Town Clinic,Clinic,MoH,-32.5870,27.8849,GPS
Korsten CHC,Community Health Centre,MoH,-33.9251,25.5707,GPS
Kotana Clinic,Clinic,MoH,-32.1487,28.1465,GPS
Kotyana Clinic,Clinic,MoH,-32.0437,28.9994,GPS
Krakeel Clinic,Clinic,MoH,-33.8143,23.7277,GPS
Kroonvale Clinic,Clinic,MoH,-32.2392,24.5403,GPS
Kruisfontein Clinic,Clinic,MoH,-34.0224,24.7463,GPS
Kruisrivier Clinic,Clinic,MoH,-33.7668,25.3484,GPS
KTC clinic,Clinic,MoH,-31.2082,29.7990,GPS
Ku Bengu Clinic,Clinic,MoH,-32.1434,27.6173,GPS
Kubusi Clinic,Clinic,MoH,-32.5943,27.4129,GPS
Kungisizwe Clinic,Clinic,MoH,-30.8285,28.6049,GPS
Kuyasa CHC,Community Health Centre,MoH,-32.0071,27.5825,GPS
Kwadwesi Clinic,Clinic,MoH,-33.8481,25.5188,GPS
Kwamagxaki Clinic,Clinic,MoH,-33.8402,25.5335,GPS
Kwa-Mkholoza Clinic,Clinic,MoH,-32.3206,28.5950,GPS
Kwa-Nonqubela Clinic,Clinic,MoH,-33.6568,26.4204,GPS
Kwanonzame New Clinic,Clinic,MoH,-31.5166,24.9994,GPS
Kwanonzame Old Clinic,Clinic,MoH,-31.5167,25.0091,GPS
Kwa-Nonzwakazi Clinic,Clinic,MoH,-33.3173,26.0908,GPS
Kwazakhele CHC,Community Health Centre,MoH,-33.8775,25.5861,GPS
Kwazakhele Clinic,Clinic,MoH,-33.8809,25.5917,GPS
Kwazamukucinga Clinic,Clinic,MoH,-32.9428,24.6779,GPS
Kwazenzele Clinic,Clinic,MoH,-33.4392,25.9743,GPS
Kwelera Clinic,Clinic,MoH,-32.8234,27.9628,GPS
Lady Grey Hospital,District Hospital,MoH,-30.7128,27.2119,GPS
Laetitia Bam CHC,Community Health Centre,MoH,-33.8080,25.3983,GPS
Lahlangubo Clinic Ngcobo,Clinic,MoH,-31.6614,27.8667,GPS
Lahlangubo Clinic Queenstown,Clinic,MoH,-32.2013,26.6951,GPS
Langeni Clinic,Clinic,MoH,-31.4086,28.5419,GPS
Lanti Clinic,Clinic,MoH,-31.8670,27.3590,GPS
Lenye Clinic,Clinic,MoH,-32.7494,27.0857,GPS
Lesseyton Clinic,Clinic,MoH,-31.8424,26.7773,GPS
Libode Clinic,Clinic,MoH,-31.5450,29.0167,GPS
Likhetlane Clinic,Clinic,MoH,-30.3570,28.5262,GPS
Lingelihle Clinic,Clinic,MoH,-32.1806,25.6292,GPS
Linton Grange Clinic,Clinic,MoH,-33.9434,25.5155,GPS
Livingstone Hospital,Provincial Tertiary Hospital,MoH,-33.9251,25.5707,GPS
Livingstone Paediatric Unit,Clinic,MoH,-33.9251,25.5707,GPS
Lizo Ngcana Clinic,Clinic,MoH,-31.9216,26.8633,GPS
Loerie Clinic,Clinic,MoH,-33.8641,25.0257,GPS
Lota Clinic,Clinic,MoH,-31.8632,28.3363,GPS
Lotana Clinic,Clinic,MoH,-31.2826,28.9165,GPS
Lotusville Clinic,Clinic,MoH,-32.4723,24.0403,GPS
Louterwater Clinic,Clinic,MoH,-33.7899,23.6311,GPS
Lower Gungululu Clinic,Clinic,MoH,-31.4628,28.8219,GPS
Lower Mncuncuzo Clinic,Clinic,MoH,-31.9083,27.5978,GPS
Lower Regu Clinic,Clinic,MoH,-32.8181,26.9525,GPS
Lower Seplan Clinic,Clinic,MoH,-31.7127,27.4433,GPS
Lower Tsitsana Clinic,Clinic,MoH,-30.5260,28.2080,GPS
Lower Zingcuka Clinic,Clinic,MoH,-32.7191,27.0988,GPS
Lubaleko Clinic,Clinic,MoH,-30.6949,29.3670,GPS
Lubisi Clinic,Clinic,MoH,-31.7989,27.4602,GPS
Ludalasi Clinic,Clinic,MoH,-31.6302,29.3268,GPS
Lugangeni Clinic,Clinic,MoH,-30.8333,28.9344,GPS
Lujizweni Clinic,Clinic,MoH,-31.7699,29.0179,GPS
Lukhanyiso Clinic,Clinic,MoH,-33.5223,25.7104,GPS
Lukhanyo Clinic,Clinic,MoH,-33.8171,25.4555,GPS
Lulama Kama Clinic,Clinic,MoH,-32.7686,26.6550,GPS
Lunga Kobese Clinic,Clinic,MoH,-33.8857,25.5808,GPS
Lusikisiki Village Clinic Qaukeni,Clinic,MoH,-31.3741,29.5723,GPS
Luthuli Clinic,Clinic,MoH,-32.1199,27.7392,GPS
Lutshaya Clinic,Clinic,MoH,-31.3227,29.3606,GPS
Lutubeni Clinic,Clinic,MoH,-31.9256,28.8826,GPS
Luyengweni Clinic,Clinic,MoH,-30.6528,28.7694,GPS
Luyolo NU 9 Clinic,Clinic,MoH,-32.9257,27.7339,GPS
Lwandile Clinic,Clinic,MoH,-31.8671,29.2088,GPS
Mabandla Clinic,Clinic,MoH,-33.8096,25.3786,GPS
Macacuma Clinic,Clinic,MoH,-30.4574,27.3530,GPS
Machibini Clinic Kwabhaca,Clinic,MoH,-30.7267,28.7171,GPS
Machibini Clinic Queenstown,Clinic,MoH,-31.9205,27.0244,GPS
Machubeni Clinic,Clinic,MoH,-31.5598,27.1893,GPS
Macibe Clinic,Clinic,MoH,-32.4780,28.2855,GPS
Mackay's Nek Satellite Clinic,Satellite Clinic,MoH,-31.7650,27.1144,GPS
Maclear Clinic,Clinic,MoH,-31.0688,28.3516,GPS
Maclear Hospital,District Hospital,MoH,-31.0759,28.3478,GPS
Madlangala Clinic,Clinic,MoH,-30.1815,28.5769,GPS
Madwaleni Hospital,District Hospital,MoH,-32.0958,28.8788,GPS
Madzikane kaZulu Memorial Hospital,District Hospital,MoH,-30.9009,28.9956,GPS
Magadla Clinic,Clinic,MoH,-30.3380,28.6825,GPS
Magwa Clinic,Clinic,MoH,-31.4184,29.6713,GPS
Magwala Clinic,Clinic,MoH,-32.0069,27.5498,GPS
Mahasana Clinic,Clinic,MoH,-32.3383,28.7344,GPS
Mahlubini Clinic,Clinic,MoH,-32.0226,27.6103,GPS
Mahlungulu Clinic KSD,Clinic,MoH,-31.5726,28.4929,GPS
Mahlungulu Clinic Mhlontlo,Clinic,MoH,-31.0568,28.8024,GPS
Majola Clinic,Clinic,MoH,-31.4977,29.3188,GPS
Makhotyana CHC,Community Health Centre,MoH,-31.4350,29.0229,GPS
Makwantini Clinic,Clinic,MoH,-31.1059,29.9903,GPS
Malabar Satellite Clinic,Satellite Clinic,MoH,-33.9213,25.5327,GPS
Malangeni Clinic,Clinic,MoH,-31.3019,29.7014,GPS
Maletswai Clinic,Clinic,MoH,-30.6907,26.6986,GPS
Malongwana Clinic,Clinic,MoH,-31.0081,29.3636,GPS
Malusi Clinic,Clinic,MoH,-31.5771,28.8706,GPS
Maluti CHC,Community Health Centre,MoH,-30.2658,28.7889,GPS
Mampondomiseni Clinic,Clinic,MoH,-31.6345,29.0906,GPS
Mangcwanguleni Clinic,Clinic,MoH,-31.3343,29.1688,GPS
Mangoloaneng Clinic,Clinic,MoH,-30.5157,28.4606,GPS
Mangqamzeni Clinic,Clinic,MoH,-30.9934,29.0786,GPS
Mantlaneni Clinic,Clinic,MoH,-31.2338,29.3425,GPS
Mantusini Clinic,Clinic,MoH,-31.5752,29.2940,GPS
Manzana Clinic,Clinic,MoH,-31.7374,28.0088,GPS
Manzimahle Clinic,Clinic,MoH,-31.6246,27.5565,GPS
Mapheleni Clinic,Clinic,MoH,-30.7844,29.2539,GPS
